Model,Folds,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,CV_Time_sec
XGBoost,5,0.9761194029850747,0.009017198487757148,0.9763413238144072,0.009060143190199063,0.9761194029850747,0.009017198487757148,0.9761071699759636,0.009018503828435238,6.393279552459717
Random Forest,5,0.9671641791044776,0.012125430454680541,0.9674828026494933,0.012697277672626382,0.9671641791044776,0.012125430454680541,0.9670191074352402,0.01246555628897623,6.35612154006958
SVM,5,0.8925373134328358,0.014623819359899575,0.8949643561042666,0.016143073781058247,0.8925373134328358,0.014623819359899575,0.8913212326276325,0.015225105898289678,0.3945193290710449
Logistic Regression,5,0.8626865671641791,0.017879326195090965,0.8623974118962818,0.01907086350164231,0.8626865671641791,0.017879326195090965,0.8611698741378465,0.017975252580381493,0.4521951675415039
Naive Bayes,5,0.8171641791044776,0.020975327347097318,0.8388389594604131,0.013909028946191539,0.8171641791044776,0.020975327347097318,0.8200153825033395,0.019683189853082966,0.2063002586364746
