Model,Train_Rows,Test_Rows,Features,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,Train_Time_sec,Prediction_Time_sec
XGBoost,1072,268,10,0.9925373134328358,0.9925721857999721,0.9925373134328358,0.992533878522329,5.189879894256592,0.01847362518310547
Random Forest,1072,268,10,0.9776119402985075,0.9781170536207849,0.9776119402985075,0.9776092067422929,1.5519428253173828,0.17209863662719727
SVM,1072,268,10,0.9104477611940298,0.9107033085680246,0.9104477611940298,0.9089039477957893,0.03867483139038086,0.022271394729614258
Logistic Regression,1072,268,10,0.8917910447761194,0.8907368063986291,0.8917910447761194,0.8910299005777496,0.09656715393066406,0.0036513805389404297
Naive Bayes,1072,268,10,0.835820895522388,0.8558326787117047,0.835820895522388,0.8385124415022824,0.014802932739257812,0.003373861312866211
