Experiment,Temporal_Features,Train_Rows,Test_Rows,MAE,MSE,RMSE,R2,Train_Time_sec,Prediction_Time_sec,RMSE_Improvement,MAE_Improvement,R2_Improvement,RMSE_Improvement_Pct,MAE_Improvement_Pct
A - State Only,None,300000,100000,33.229949951171875,1980.4752197265625,44.502530486777516,0.5175256133079529,4.7276670932769775,0.53206467628479,0.0,0.0,0.0,0.0,0.0
B - State + Recent Scoring,"last_3_overs_score, last_10_overs_score",300000,100000,33.3186149597168,1982.869140625,44.529418821999016,0.5169423818588257,4.255229234695435,0.47827577590942383,-0.026888335221499915,-0.08866500854492188,-0.0005832314491271973,-0.06041978945329617,-0.2668225762458455
C - State + Ball Quality,"boundary_rate, dot_ball_rate",300000,100000,33.0557861328125,1965.7401123046875,44.33666780786179,0.5211153030395508,4.354743242263794,0.5253024101257324,0.1658626789157296,0.174163818359375,0.0035896897315979004,0.3727039273980393,0.5241170047360635
D - State + Wicket Momentum,recent_5_over_wickets,300000,100000,33.253173828125,1979.561767578125,44.49226637942964,0.5177481174468994,4.337116956710815,0.4825124740600586,0.010264107347879303,-0.023223876953125,0.0002225041389465332,0.02306409823353517,-0.06988838980272372
E - State + All Temporal,"last_3_overs_score, last_10_overs_score, boundary_rate, dot_ball_rate, recent_5_over_wickets",300000,100000,32.95306396484375,1958.290283203125,44.25257374665484,0.5229302048683167,4.616922378540039,0.585660457611084,0.249956740122677,0.276885986328125,0.0054045915603637695,0.5616686003887881,0.8332422610776772
